Institución;Grupo;Nombre;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 044;2;2;1;1;2;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 045;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 046;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 047;2;2;1;2;1;1;1;1;1;1;1;3;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 048;2;2;2;2;1;1;1;1;1;1;1;1;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 049;2;1;1;1;2;1;2;2;2;2;1;0;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 050;1;2;1;2;1;1;2;1;1;1;2;1;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 051;2;1;1;1;2;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 052;2;2;2;2;1;1;1;1;1;1;1;1;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 053;1;2;2;1;2;1;2;1;1;2;1;3;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 054;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 055;1;2;1;1;2;2;1;2;2;1;1;0;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 056;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 057;1;2;1;2;1;1;1;1;1;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 058;1;2;1;2;1;1;1;1;1;1;1;1;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 059;2;1;2;2;1;1;1;1;1;1;1;2;2;2;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 060;1;1;2;1;1;1;1;1;1;1;1;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 061;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 062;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 063;1;2;1;2;2;1;2;1;1;1;1;1;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 064;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 065;1;1;2;1;2;1;1;1;1;2;2;3;2;2;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 066;2;2;1;2;1;1;1;1;1;1;1;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 067;2;2;1;2;1;1;1;1;1;1;2;2;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 068;1;1;1;1;1;2;1;1;1;1;1;0;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 069;2;2;2;2;1;1;1;1;1;1;1;3;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 070;1;2;1;2;1;1;1;1;1;1;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 071;1;2;1;2;1;1;1;1;2;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 072;1;2;1;2;1;1;1;1;1;1;2;1;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 073;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 074;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 075;1;2;1;2;2;2;2;1;1;1;1;2;1;2;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 076;1;2;1;2;1;1;1;1;1;1;1;3;2;1;0
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 077;2;2;1;1;1;1;1;1;1;1;1;2;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 078;2;2;2;2;1;2;1;1;1;2;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 079;1;2;1;1;1;1;2;1;1;2;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 080;1;2;0;2;2;1;1;1;2;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 081;1;1;1;1;1;2;1;2;2;2;1;3;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 082;1;2;1;2;1;2;1;1;1;2;1;2;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 083;1;1;1;1;2;1;2;1;1;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 084;1;2;1;2;1;1;1;1;1;1;2;2;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 085;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 086;2;2;1;1;1;1;1;2;1;1;1;3;1;1;0
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 087;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 088;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 089;1;1;2;2;1;1;1;1;1;2;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 090;1;2;2;2;1;1;1;1;1;1;2;1;1;1;0
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 091;1;2;2;2;1;1;1;1;1;2;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 092;1;2;1;1;1;1;1;1;1;1;2;3;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 093;1;2;1;2;1;1;1;1;1;1;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 094;1;2;1;2;1;1;1;1;2;1;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 095;1;2;1;2;1;1;1;1;1;2;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;2";Estudiante 096;2;2;2;2;1;1;1;1;1;1;2;2;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 097;1;2;2;2;1;1;2;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 098;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 099;1;0;2;1;1;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 100;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 101;2;2;2;2;2;2;2;2;2;1;0;3;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 102;1;2;1;2;1;1;1;1;1;1;2;1;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 103;1;2;1;2;1;1;1;2;1;1;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 104;1;2;2;2;1;1;1;1;1;1;0;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 105;1;2;1;2;2;1;1;1;1;1;1;2;2;1;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 106;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 107;1;0;1;1;0;0;2;1;0;0;2;3;1;0;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 108;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 109;1;2;2;2;1;1;1;1;1;1;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 110;1;2;1;2;1;1;1;1;1;1;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 111;1;2;2;2;1;1;1;1;1;2;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 112;1;2;1;2;1;1;2;1;1;1;2;2;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 113;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 114;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 115;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 116;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 117;1;2;2;2;1;1;1;2;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 118;2;2;2;2;1;2;1;1;1;1;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 119;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 120;1;2;2;1;1;1;1;1;1;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;3";Estudiante 121;2;2;1;2;2;1;1;2;1;2;2;1;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 122;2;2;1;2;2;2;1;2;1;1;2;2;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 123;2;2;1;2;2;1;2;2;2;2;2;2;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 124;2;2;2;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 125;2;2;1;2;1;1;1;1;1;1;2;2;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 126;2;2;1;2;1;1;1;1;2;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 127;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 128;2;2;2;2;1;1;2;1;1;1;1;2;1;2;1
